step,n_seeds,spectral_norm_mean,spectral_norm_std,stable_rank_mean,stable_rank_std,effective_rank_mean,effective_rank_std,n_svs_above_1pct_mean,n_svs_above_1pct_std
0,3,0.4565998332368003,0.005129156559804989,111.41063705319151,2.5419037459721134,323.42496626171413,1.2729138439676428,562.6666666666666,1.1547005383792515
500,3,1.7416467004352145,0.05015930378728919,46.110937708433504,1.2983628105800464,269.75802956316494,0.05016083273669008,555.5555555555555,1.2945755775256773
1000,3,1.7999062935511272,0.06431564910215198,44.4950485679084,1.3835629864342875,249.98158251925096,1.8218550694527311,555.7222222222223,0.7876359377087614
1500,3,1.822740528318617,0.057046977703194335,42.22705908547536,2.80594485842255,233.9672174085924,3.5985897022990727,554.5555555555555,0.7698003589195229
2000,3,1.8234347038798862,0.045461531797727696,40.28666705784033,2.491267090467224,224.6541588409485,3.5163650935822477,554.2777777777778,0.693888666488726
2500,3,1.7955333789189656,0.037681945524816934,39.82713402107664,2.416505715159975,217.56602008108243,2.7257043264480476,553.5,0.4409585518441056
3000,3,1.7731066942214966,0.07281106309119646,39.62974833010471,2.6332811443548345,212.42879160018543,2.199023766132197,551.7777777777778,0.9179284245477088
3500,3,1.788024624188741,0.0657924011347728,38.54900330326602,2.615059746185848,209.07800436493312,2.534274010982374,551.6111111111111,0.8388704928078435
4000,3,1.7804142302936978,0.0711952913748501,38.406567977370464,2.1458823812699137,207.46038767952732,2.2859490284417427,551.6111111111111,0.7515416254704795
4500,3,1.778044985400306,0.06687767325933697,38.4733093497384,2.0955657677441546,206.76847441159123,2.2635064152701325,551.3888888888889,0.34694433324434026
5000,3,1.7765124241511028,0.06528710607732556,38.57549136891679,2.250308965468417,206.62499935512716,2.3342406725658806,551.5,0.5
