step,n_seeds
0,3
500,3
1000,3
1500,3
2000,3
2500,3
3000,3
3500,3
4000,3
4500,3
5000,3
5500,3
6000,3
6500,3
7000,3
7500,3
8000,3
8500,3
9000,3
9500,3
10000,3
10500,3
11000,3
11500,3
12000,3
12500,3
13000,3
13500,3
14000,3
14500,3
15000,3
15500,3
16000,3
16500,3
17000,3
17500,3
18000,3
18500,3
19000,3
19500,3
20000,3
20500,3
21000,3
21500,3
22000,3
22500,3
23000,3
23500,3
24000,3
24500,3
25000,3
25500,3
26000,3
26500,3
27000,3
27500,3
28000,3
28500,3
29000,3
29500,3
30000,3
30500,3
31000,3
31500,3
32000,3
32500,3
33000,3
33500,3
34000,3
34500,3
35000,3
35500,3
36000,3
36500,3
37000,3
37500,3
38000,3
38500,3
39000,3
39500,3
40000,3
