step,n_seeds,validate/loss_step_mean,validate/loss_step_std,validate/pred_loss_step_mean,validate/pred_loss_step_std,validate/sigreg_loss_step_mean,validate/sigreg_loss_step_std,epoch_mean,epoch_std,fit/grad_norm_pre_clip_mean,fit/grad_norm_pre_clip_std,fit/loss_mean,fit/loss_std,fit/pred_loss_mean,fit/pred_loss_std,fit/sigreg_loss_mean,fit/sigreg_loss_std,validate/loss_epoch_mean,validate/loss_epoch_std,validate/pred_loss_epoch_mean,validate/pred_loss_epoch_std,validate/sigreg_loss_epoch_mean,validate/sigreg_loss_epoch_std
0,3,0.18022346993287405,0.03818437544311884,0.01648648859312137,0.005545311143063966,1.8203125,0.40421666625864155,,,,,,,,,,,,,,,,
1,3,0.1705882598956426,0.01748440457876236,0.01857002762456735,0.0030825286406018287,1.6875,0.20669932117692114,,,,,,,,,,,,,,,,
2,3,0.17253764967123666,0.014175040712685409,0.016613171435892582,0.0021602329054373837,1.7317708333333333,0.15236044246156327,,,,,,,,,,,,,,,,
3,3,0.16352841754754385,0.02759094738419833,0.022252374639113743,0.008401056046360697,1.5677083333333333,0.21556460506848832,,,,,,,,,,,,,,,,
4,3,0.1871672123670578,0.016700739612403617,0.017570857889950275,0.003823293423322561,1.8854166666666667,0.14664487734688633,,,,,,,,,,,,,,,,
5,3,0.16809936364491782,0.014666541479885277,0.016732178007562954,0.0026744986437178967,1.6822916666666667,0.1344869930591183,,,,,,,,,,,,,,,,
6,3,0.17631123463312784,0.014640806815272179,0.016154984012246132,0.007247801647600302,1.7786458333333333,0.14026284384890866,,,,,,,,,,,,,,,,
7,3,0.14534594615300497,0.009117886521734956,0.017416261446972687,0.004576330898163421,1.421875,0.07452650011069888,,,,,,,,,,,,,,,,
8,3,0.16409200429916382,0.012548225777640486,0.014677940557400385,0.004895142479703042,1.6614583333333333,0.12261726423951619,,,,,,,,,,,,,,,,
9,3,0.16478102405865988,0.026910095816001133,0.019273210627337296,0.007331781102939807,1.6171875,0.21875,,,,,,,,,,,,,,,,
10,3,0.1712309718132019,0.04039063292756031,0.015794771102567513,0.005408572257673515,1.7291666666666667,0.3970051869807035,,,,,,,,,,,,,,,,
11,3,0.170104851325353,0.02940609638390432,0.013203814315299192,0.0032763056736168097,1.7421875,0.29367103326894534,,,,,,,,,,,,,,,,
12,3,0.1751642475525538,0.01219910675637119,0.016635601719220478,0.004888453354688364,1.7630208333333333,0.09320588629256918,,,,,,,,,,,,,,,,
13,3,0.16502393782138824,0.010453155559962356,0.01528435479849577,0.004015432181216397,1.6640625,0.09375,,,,,,,,,,,,,,,,
14,3,0.17714281876881918,0.013864251991101726,0.016010006268819172,0.0018674177417002263,1.7890625,0.13002591388354093,,,,,,,,,,,,,,,,
15,3,0.16261433064937592,0.020104820488576605,0.014665109726289908,0.004182078676859042,1.6432291666666667,0.233112921380569,,,,,,,,,,,,,,,,
16,3,0.16457057495911917,0.013541624034067515,0.015807556298871834,0.0009659788978763782,1.6484375,0.14084184669781208,,,,,,,,,,,,,,,,
17,3,0.160801962018013,0.01202086928567026,0.014643104436496893,0.002454306361594638,1.6223958333333333,0.12111474952326547,,,,,,,,,,,,,,,,
18,3,0.1874476671218872,0.02606821796140299,0.013294024703403315,0.0011259627509467068,1.9375,0.30136408628102984,,,,,,,,,,,,,,,,
19,3,0.1630293627580007,0.013476095835742033,0.017196026630699635,0.0055100471955087296,1.6171875,0.09600160724566022,,,,,,,,,,,,,,,,
49,3,,,,,,,0.0,0.0,1.91884179910024,0.08328492440457581,0.9482172528902689,0.012774980839706278,0.2516026645898819,0.013003656751260927,7.729166666666667,0.018042195912175804,,,,,,
99,3,,,,,,,0.0,0.0,3.3140310446421304,0.9044775255900299,0.7657785216967264,0.007983746798676725,0.25666392346223194,0.016244894738373622,5.645833333333333,0.2427329207860634,,,,,,
149,3,,,,,,,0.0,0.0,2.258078455924988,1.1871986692464753,0.6380699872970581,0.007736577118823193,0.2220543622970581,0.008483003649397698,4.625,0.17399263633843817,,,,,,
199,3,,,,,,,0.0,0.0,2.985633452733358,0.555279971839336,0.5434433420499166,0.009547457402653826,0.18406833708286285,0.017795437561499965,3.9947916666666665,0.08605578980134534,,,,,,
249,3,,,,,,,0.0,0.0,1.595230261484782,0.3623233025641698,0.5004360973834991,0.022508789662665965,0.1729621390501658,0.005538360688754476,3.6354166666666665,0.2694274407578659,,,,,,
299,3,,,,,,,0.0,0.0,1.9135573705037434,0.15248928349783233,0.4550347328186035,0.021569185458238747,0.16336806615193686,0.01586901252972639,3.2395833333333335,0.12532509807829129,,,,,,
349,3,,,,,,,0.0,0.0,1.576700488726298,0.23835122395877176,0.4084576666355133,0.019420762137625107,0.1330670416355133,0.014401465777541419,3.0572916666666665,0.13103901693134504,,,,,,
399,3,,,,,,,0.0,0.0,1.6277548869450886,0.5428785069068272,0.3759448031584422,0.010225111581723583,0.11617918312549591,0.015669044875622904,2.8802083333333335,0.2340275201943851,,,,,,
449,3,,,,,,,0.0,0.0,1.5108887354532878,0.5776537010251462,0.3974161048730214,0.035493084335916865,0.1314655840396881,0.010904651202060356,2.953125,0.2764344689524083,,,,,,
499,3,,,,,,,0.0,0.0,1.5520234902699788,0.3182371922691811,0.34324342012405396,0.012580922411194857,0.09845176090796788,0.016030623928546966,2.7239583333333335,0.18509745462413396,,,,,,
549,3,,,,,,,0.0,0.0,1.454748233159383,0.27744556929781283,0.3396165668964386,0.011393273642035795,0.11077542106310527,0.024400628410362522,2.5416666666666665,0.3252603124165832,,,,,,
599,3,,,,,,,0.0,0.0,1.4789536396662395,0.1352755914246424,0.33824734886487323,0.0339586284874008,0.09866402049859364,0.02556613155869375,2.6666666666666665,0.24020526161667094,,,,,,
649,3,,,,,,,0.0,0.0,1.5391604502995808,0.3627677126583761,0.3141481578350067,0.03669952777815823,0.08367940907677014,0.02273760819786204,2.5625,0.15388840315306412,,,,,,
699,3,,,,,,,0.0,0.0,1.7583259344100952,0.12112635108455319,0.3054858446121216,0.031133924688282175,0.07859783122936885,0.025108314130155268,2.5208333333333335,0.09547032697824667,,,,,,
749,3,,,,,,,0.0,0.0,2.5049007336298623,1.238954307486283,0.29509857296943665,0.016956700766801624,0.07992930461963017,0.005482523581213071,2.390625,0.16535945694153692,,,,,,
799,3,,,,,,,0.0,0.0,3.547398487726847,0.7020099976605731,0.28364522258440655,0.020622554902427242,0.0707546000679334,0.008623615082638385,2.3645833333333335,0.13288907106430284,,,,,,
849,3,,,,,,,0.0,0.0,2.6259167194366455,1.5453953587979186,0.26186388234297436,0.021889588965751466,0.06134305646022161,0.017225090179581605,2.2291666666666665,0.06314768569261532,,,,,,
899,3,,,,,,,0.0,0.0,3.7203221321105957,0.807031465638106,0.2671249210834503,0.012874430260803784,0.05651294067502022,0.004177095843075714,2.3385416666666665,0.1451808319246495,,,,,,
949,3,,,,,,,0.0,0.0,1.8381649653116863,0.7539472137655819,0.27141156295935315,0.02026389648908837,0.06275270630915959,0.019148056572170953,2.3177083333333335,0.050227347713504976,,,,,,
999,3,,,,,,,0.0,0.0,1.3797711928685505,0.08031039239113621,0.2434436579545339,0.014773702809514615,0.0552926150461038,0.014578153571908621,2.0885416666666665,0.039322054350368486,,,,,,
1049,3,,,,,,,0.0,0.0,3.077530304590861,2.6078412815071785,0.24816125631332397,0.004889726483217799,0.05252323920528094,0.008254139587589861,2.171875,0.14320549046737,,,,,,
1099,3,,,,,,,0.0,0.0,2.3823722203572593,0.41346647783710094,0.2533233165740967,0.020619036981977076,0.06191707278291384,0.015553430043430603,2.125,0.05412658773652741,,,,,,
1149,3,,,,,,,0.0,0.0,2.036734104156494,0.7146013680297901,0.24408885836601257,0.010296942457194832,0.05984406794110934,0.006835876732103628,2.0494791666666665,0.1657895212749688,,,,,,
1199,3,,,,,,,0.0,0.0,1.6653012832005818,0.39062794423564523,0.24244758983453116,0.02019220928754197,0.06503873442610104,0.015531916626857429,1.9739583333333333,0.073840869160197,,,,,,
1249,3,,,,,,,0.0,0.0,1.2590268850326538,0.2830045165756103,0.22086302936077118,0.004835635292035205,0.050941155602534614,0.008321935186121359,1.8880208333333333,0.11167594605412275,,,,,,
1299,3,,,,,,,0.0,0.0,1.9475375413894653,0.02101484807714738,0.231543963154157,0.009619795526668855,0.05576271439592043,0.008130547615528486,1.953125,0.020669932117692115,,,,,,
1349,3,,,,,,,0.0,0.0,1.7992539405822754,0.08864210768176134,0.2306120495001475,0.012257258149085298,0.0532031978170077,0.007936058873810253,1.9739583333333333,0.05863713671457137,,,,,,
1399,3,,,,,,,0.0,0.0,1.8517166376113892,0.3478916466071245,0.2363240271806717,0.005309956205570964,0.05761308968067169,0.005108923584961544,1.984375,0.04133986423538423,,,,,,
1449,3,,,,,,,0.0,0.0,1.8845834732055664,0.2898088755840112,0.22026114662488303,0.02194484264861874,0.05424552038311958,0.008231946378438158,1.84375,0.16810495930742198,,,,,,
1499,3,,,,,,,0.0,0.0,2.1659401257832847,0.41669766374233475,0.22033284604549408,0.013658003986911802,0.049108883986870445,0.016016459328046108,1.9010416666666667,0.0813150781041458,,,,,,
1549,3,,,,,,,0.0,0.0,1.6828703880310059,0.15877771707246982,0.21368124087651572,0.01239001630861416,0.05287394920984904,0.008860557191616825,1.7864583333333333,0.06505206248331664,,,,,,
1599,3,,,,,,,0.0,0.0,2.0773579279581704,0.7044303217296233,0.2268180251121521,0.018171009264510693,0.058523754278818764,0.009981391793024217,1.8723958333333333,0.09054863880580058,,,,,,
1649,3,,,,,,,0.0,0.0,1.6081692377726238,0.31498268802188667,0.2218900521596273,0.031668145784382665,0.05685099462668101,0.017973796540234385,1.8333333333333333,0.16036254498271513,,,,,,
1699,3,,,,,,,0.0,0.0,1.764164686203003,0.3307435902703901,0.2114927421013514,0.0008264313040636916,0.052964091300964355,0.011887130593612983,1.7578125,0.1314265925098494,,,,,,
1749,3,,,,,,,0.0,0.0,1.985121528307597,0.5217635211265947,0.21091135839621225,0.004193610403616717,0.05335927754640579,0.003889203434201633,1.75,0.06765823467065928,,,,,,
1799,3,,,,,,,0.0,0.0,2.0187660455703735,0.053009502212444715,0.22835267583529154,0.019842556216093644,0.06070944915215174,0.006474677638472702,1.8619791666666667,0.18885146624287388,,,,,,
1849,3,,,,,,,0.0,0.0,1.5515644152959187,0.1977474913467293,0.22552896042664847,0.024392078262856273,0.05625812957684199,0.005727500219340126,1.8802083333333333,0.21257083684523456,,,,,,
1899,3,,,,,,,0.0,0.0,3.2726457516352334,1.7181452908118624,0.22268242637316385,0.016594633906373956,0.05764336387316386,0.010085687280115928,1.8359375,0.078125,,,,,,
1949,3,,,,,,,0.0,0.0,2.296613574028015,1.095083617573203,0.2272213101387024,0.026432596094430785,0.06022912263870239,0.016061796675174666,1.8567708333333333,0.11856825456075219,,,,,,
1999,3,,,,,,,0.0,0.0,2.3267463048299155,0.5985406968693205,0.2285268952449163,0.01116227340628801,0.053396690636873245,0.010276771058160392,1.9479166666666667,0.1531595411722147,,,,,,
2049,3,,,,,,,0.0,0.0,3.3183005253473916,1.2422716470855513,0.20723499357700348,0.011366955119666407,0.054891244818766914,0.007353974293915318,1.6927083333333333,0.04577707247720559,,,,,,
2099,3,,,,,,,0.0,0.0,3.0176292260487876,0.2876125269267893,0.22852295140425363,0.007642172486084981,0.05990316594640414,0.0025679795294668525,1.875,0.07928821535228296,,,,,,
2149,3,,,,,,,0.0,0.0,2.4812245766321817,1.38746507957598,0.20784005522727966,0.01130728503662615,0.0545197439690431,0.0070979992504642065,1.703125,0.04878904686248749,,,,,,
2199,3,,,,,,,0.0,0.0,2.2349217335383096,0.8192894371528573,0.21157908936341605,0.013155034675889455,0.05305044477184614,0.004551061646357701,1.7578125,0.09789034442298178,,,,,,
2249,3,,,,,,,0.0,0.0,2.9145572185516357,0.26237904315432437,0.20933698117733002,0.00552046416075273,0.04820416743556658,0.006975724779328197,1.7890625,0.028168369339562415,,,,,,
2299,3,,,,,,,0.0,0.0,3.2547249794006348,1.2357685169436226,0.21920519570509592,0.009169478512113638,0.05807238693038622,0.011190296695354122,1.7916666666666667,0.04009063624567878,,,,,,
2349,3,,,,,,,0.0,0.0,2.4441991249720254,0.9902826174164208,0.21506740152835846,0.0034456304433311794,0.055562193195025124,0.007255590924481058,1.7734375,0.07534102157025746,,,,,,
2399,3,,,,,,,0.0,0.0,2.261543869972229,0.9645124348061866,0.2129940241575241,0.017231325117513407,0.04860600704948107,0.009530810054992272,1.8255208333333333,0.08884751098558323,,,,,,
2449,3,,,,,,,0.0,0.0,2.266363203525543,1.3440533303227478,0.2125578671693802,0.0161621926020988,0.05240161716938019,0.01583779288541945,1.7786458333333333,0.07507049638228945,,,,,,
2499,3,,,,,,,0.0,0.0,2.5781572659810386,1.6101030960890905,0.21525641779104868,0.028178075013883717,0.05607673029104868,0.016342938708897824,1.7682291666666667,0.13471372037893295,,,,,,
2549,3,,,,,,,0.0,0.0,1.70036776860555,0.5784921673177905,0.20228730142116547,0.010996496391266056,0.052873242646455765,0.008898074428312634,1.6614583333333333,0.04009063624567878,,,,,,
2599,3,,,,,,,0.0,0.0,2.2186176776885986,0.9623660383369388,0.2216215282678604,0.016061494929793838,0.05397829785943031,0.003790113765597254,1.8619791666666667,0.13982701831936248,,,,,,
2649,3,,,,,,,0.0,0.0,2.2153608004252114,0.4907729210896577,0.2095630019903183,0.010050768541288483,0.046477062006791435,0.0023706090883779123,1.8098958333333333,0.08781101718795503,,,,,,
2699,3,,,,,,,0.0,0.0,1.9248068730036418,0.440888573417829,0.199912557999293,0.011696338849749431,0.04333703964948654,0.008332942533528169,1.7395833333333333,0.06825699178167269,,,,,,
2749,3,,,,,,,0.0,0.0,1.6572572787602742,0.5340640281411174,0.21210785706837973,0.005259308697087925,0.05357920999328295,0.00845555955966123,1.7630208333333333,0.05651701670367371,,,,,,
2799,3,,,,,,,0.0,0.0,1.7780359784762065,1.1058140309326279,0.2027385781208674,0.020338649524196353,0.042907848954200745,0.002861976137750386,1.7760416666666667,0.1928490477247252,,,,,,
2849,3,,,,,,,0.0,0.0,1.656699577967326,0.5330775356138403,0.1964798370997111,0.0036648622005740223,0.04446160917480787,0.0017766557217797335,1.6875,0.027063293868263706,,,,,,
2899,3,,,,,,,0.0,0.0,1.5460975567499797,0.6006464918764921,0.1985763112703959,0.0046708911504045655,0.04037318751215935,0.005665617344139199,1.7578125,0.046875,,,,,,
2949,3,,,,,,,0.0,0.0,2.50217604637146,1.626418138572444,0.22029389441013336,0.020327428053148088,0.05948660150170326,0.018958934908315222,1.7864583333333333,0.019661027175184243,,,,,,
2999,3,,,,,,,0.0,0.0,1.22631839911143,0.4766417903313862,0.1994690845410029,0.0028118440232541802,0.04061491166551908,0.0009407516503188947,1.765625,0.04133986423538423,,,,,,
3049,3,,,,,,,0.0,0.0,1.120343526204427,0.2768963473857452,0.21311883131663004,0.0232283937080335,0.04938185587525368,0.01460866917820586,1.8177083333333333,0.1151736686848749,,,,,,
3099,3,,,,,,,0.0,0.0,1.2565529743830364,0.2636909640648135,0.1960547169049581,0.0044292254655234195,0.04533857355515162,0.0025395113853801652,1.671875,0.07928821535228296,,,,,,
3149,3,,,,,,,0.0,0.0,1.671356479326884,0.37622629457153506,0.21611555914084116,0.021255143128472962,0.0520530603826046,0.008643650821438705,1.8255208333333333,0.14026284384890866,,,,,,
3199,3,,,,,,,0.0,0.0,1.4773905674616497,0.407143977245188,0.20458540320396423,0.02017337205019743,0.04866092652082443,0.006219301049710187,1.7317708333333333,0.17820950115547526,,,,,,
3249,3,,,,,,,0.0,0.0,1.042579670747121,0.5608259589845499,0.19638323783874512,0.005259795423662755,0.043713959554831185,0.002653462497415448,1.6979166666666667,0.06266254903914564,,,,,,
3299,3,,,,,,,0.0,0.0,1.108557939529419,0.5835710179806795,0.20003291964530945,0.0075462021552472934,0.048340207586685814,0.004595301644698195,1.6848958333333333,0.05083130545818525,,,,,,
3349,3,,,,,,,0.0,0.0,1.1285715301831563,0.5480284720875686,0.20470769703388214,0.019103837677865915,0.051712906608978905,0.013175688666016701,1.703125,0.06394806853025352,,,,,,
3399,3,,,,,,,0.0,0.0,1.3802295128504436,0.7682103884404405,0.20280353228251138,0.02704482419519387,0.04394936064879099,0.008066357142400506,1.7682291666666667,0.21098571979717806,,,,,,
3449,3,,,,,,,0.0,0.0,1.5149080952008565,0.5688386249067612,0.19888853033383688,0.007535151367831378,0.04459165409207344,0.0014856807606045434,1.7135416666666667,0.09054863880580058,,,,,,
3499,3,,,,,,,0.0,0.0,1.3310284614562988,0.09487011232358028,0.20530806481838226,0.005470357142346837,0.054917436093091965,0.011629964591672853,1.6692708333333333,0.08018127249135756,,,,,,
3549,3,,,,,,,0.0,0.0,1.5697908798853557,0.6253568894591051,0.19990988075733185,0.019923831759798994,0.048217171182235084,0.013560842452463815,1.6875,0.08118988160479113,,,,,,
3599,3,,,,,,,0.0,0.0,1.0860335032145183,0.20924087857230259,0.21075060466925302,0.0058995815116080295,0.04668810839454333,0.00856738148104737,1.8229166666666667,0.06314768569261532,,,,,,
3649,3,,,,,,,0.0,0.0,1.0983819961547852,0.32118477861287414,0.194490114847819,0.0010583484127859996,0.04865678151448568,0.0022488438121781996,1.6197916666666667,0.023867581744561668,,,,,,
3699,3,,,,,,,0.0,0.0,0.9768246610959371,0.40555320486621166,0.1785551259915034,0.009994013409160956,0.035977000991503395,0.004665713018890832,1.5859375,0.140625,,,,,,
3749,3,,,,,,,0.0,0.0,1.2374106248219807,0.38533234693439694,0.20068645477294922,0.028736242008449108,0.046064057697852455,0.011136576147282645,1.7161458333333333,0.20733811770169838,,,,,,
3799,3,,,,,,,0.0,0.0,0.8921557664871216,0.179673635034088,0.192125474413236,0.00671225737022314,0.042711418122053146,0.0010547829336386664,1.6588541666666667,0.06825699178167269,,,,,,
3849,3,,,,,,,0.0,0.0,1.1903984944025676,0.27181450642294314,0.1907838980356852,0.009666108262564395,0.04267191638549169,0.0024017084954830025,1.6484375,0.08873294290312927,,,,,,
3899,3,,,,,,,0.0,0.0,1.2029356956481934,0.7980624517147837,0.19053705036640167,0.018042286479021546,0.03754226304590702,0.008023772071597124,1.6979166666666667,0.11167594605412275,,,,,,
3949,3,,,,,,,0.0,0.0,1.0829565326372783,0.4190475475438517,0.2048791547616323,0.015353460097311113,0.04732707142829895,0.005860252102290632,1.7526041666666667,0.10946796644262345,,,,,,
3999,3,,,,,,,0.0,0.0,1.0908780495325725,0.37392695283673305,0.19476537903149924,0.016158257764290123,0.04144506280620893,0.007967399719950375,1.703125,0.09375,,,,,,
4049,3,,,,,,,0.0,0.0,1.1299112637837727,0.4492228025601775,0.1791315178076426,0.014462304690031335,0.04013412073254585,0.004855065156389895,1.5442708333333333,0.10778230253424416,,,,,,
4099,3,,,,,,,0.0,0.0,1.3272987008094788,0.3449908319204441,0.20338629682858786,0.0012147520685196213,0.04908941686153412,0.008800149293863094,1.7135416666666667,0.09547032697824667,,,,,,
4149,3,,,,,,,0.0,0.0,1.3654183944066365,0.24962540327168004,0.20609678328037262,0.012863520854593006,0.046266054113705955,0.0030420297093280376,1.7734375,0.11348311754948398,,,,,,
4199,3,,,,,,,0.0,0.0,1.4662368893623352,0.9746409124198532,0.2070121318101883,0.025351629868737964,0.04522828136881193,0.005766955557439668,1.796875,0.22330634262431956,,,,,,
4249,3,,,,,,,0.0,0.0,1.2292924920717876,0.32943626339826154,0.1927266518274943,0.014953774057045387,0.0462422768274943,0.004438359930028267,1.6302083333333333,0.12111474952326547,,,,,,
4299,3,,,,,,,0.0,0.0,0.8494015534718832,0.4429941337874211,0.18870406846205393,0.015217078548466134,0.039615531762441,0.009513594965462186,1.65625,0.0900981452708656,,,,,,
4349,3,,,,,,,0.0,0.0,1.0884620149930317,0.3049196809019646,0.18348024785518646,0.004834938952940601,0.0431807686885198,0.004322746752606082,1.5598958333333333,0.01626301562082916,,,,,,
4399,3,,,,,,,0.0,0.0,0.9170674681663513,0.13317153414646982,0.19353926678498587,0.003888004929318676,0.04672937219341596,0.002783684163838645,1.6328125,0.013531646934131853,,,,,,
4449,3,,,,,,,0.0,0.0,0.8899499376614889,0.1634347629883515,0.19742668668429056,0.008814608164520071,0.052569920818010964,0.0005320650328865443,1.6067708333333333,0.09385844422364635,,,,,,
4499,3,,,,,,,0.0,0.0,1.0059473911921184,0.1312965599601277,0.199723020195961,0.00572756343148933,0.0457516647875309,0.0033077446389817504,1.7083333333333333,0.09547032697824667,,,,,,
4549,3,,,,,,,0.0,0.0,1.2935020128885906,0.48023907942685506,0.18506220976511636,0.011808014779282304,0.045088253915309906,0.003876518276849448,1.5572916666666667,0.1376271902262897,,,,,,
4599,3,,,,,,,0.0,0.0,1.6418822606404622,0.19292198949263525,0.20733384788036346,0.013135795482093817,0.060849472880363464,0.007805054224210703,1.6276041666666667,0.1799138067647487,,,,,,
4649,3,,,,,,,0.0,0.0,1.0341373880704243,0.08143849360245149,0.18049264947573343,0.010181444029820599,0.03791452323397001,0.0038166948552285033,1.5833333333333333,0.09547032697824667,,,,,,
4699,3,,,,,,,0.0,0.0,1.0243904987970989,0.2137520790622262,0.19615057607491812,0.020871008868151953,0.048038595666488014,0.012475578244670944,1.6432291666666667,0.09122020775071352,,,,,,
4749,3,,,,,,,0.0,0.0,1.0095977981885274,0.26590422048729084,0.17557998498280844,0.0005966016058477824,0.04211644331614176,0.006055800378399938,1.484375,0.0703125,,,,,,
4799,3,,,,,,,0.0,0.0,1.1414928634961445,0.37356791455557026,0.19383414586385092,0.0043870370507842,0.048977370063463845,0.00498959351296259,1.609375,0.08450510801868726,,,,,,
4849,3,,,,,,,0.0,0.0,0.8980412085851034,0.13387741012850535,0.17957803606987,0.0036357558713717287,0.04123167941967646,0.005960476722428027,1.5364583333333333,0.10196235390860361,,,,,,
4899,3,,,,,,,0.0,0.0,0.905469556649526,0.28175669977847007,0.18085178236166635,0.008959554079096942,0.041203342378139496,0.010109538187054916,1.546875,0.0546875,,,,,,
4949,3,,,,,,,0.0,0.0,1.2683046062787373,0.3010283159647566,0.18085309863090515,0.00919388335745446,0.04120465864737829,0.0068548374771540055,1.5494791666666667,0.05758683434243745,,,,,,
4999,3,,,,,,,0.0,0.0,1.161694049835205,0.2983763481873402,0.18196121354897818,0.006382377506259344,0.0471955860654513,0.004061095914621187,1.4973958333333333,0.04577707247720559,,,,,,
5049,3,,,,,,,0.0,0.0,0.8108580708503723,0.14547874200439515,0.18141591052214304,0.012382373801744659,0.040790910522143044,0.0035337648825358886,1.5625,0.12278307535548212,,,,,,
5099,3,,,,,,,0.0,0.0,1.304767409960429,0.3305760591761592,0.19679038226604462,0.012873816271033197,0.04639975478251775,0.0019600009346483565,1.6692708333333333,0.1270182124818458,,,,,,
5149,3,,,,,,,0.0,0.0,1.2142074902852376,0.13017475532700243,0.18874818086624146,0.017010929669877297,0.040961720049381256,0.008247277843912016,1.6432291666666667,0.11384110934580413,,,,,,
