step,n_seeds,validate/loss_step_mean,validate/loss_step_std,validate/pred_loss_step_mean,validate/pred_loss_step_std,epoch_mean,epoch_std,fit/grad_norm_pre_clip_mean,fit/grad_norm_pre_clip_std,fit/loss_mean,fit/loss_std,fit/pred_loss_mean,fit/pred_loss_std,fit/rand_diff_loss_mean,fit/rand_diff_loss_std,validate/loss_epoch_mean,validate/loss_epoch_std,validate/pred_loss_epoch_mean,validate/pred_loss_epoch_std
0,2,0.0781114287674427,0.01542310710859922,0.0781114287674427,0.01542310710859922,,,,,,,,,,,,,,
1,2,0.0961684137582779,0.0017601788343604675,0.0961684137582779,0.0017601788343604675,,,,,,,,,,,,,,
2,2,0.08298061415553093,0.0037872473185601076,0.08298061415553093,0.0037872473185601076,,,,,,,,,,,,,,
3,2,0.0953175239264965,0.01249892714877701,0.0953175239264965,0.01249892714877701,,,,,,,,,,,,,,
4,2,0.06863705813884735,0.007692632253496251,0.06863705813884735,0.007692632253496251,,,,,,,,,,,,,,
5,2,0.08824022114276886,0.0057507899653417025,0.08824022114276886,0.0057507899653417025,,,,,,,,,,,,,,
6,2,0.08528534695506096,0.00019340661946042886,0.08528534695506096,0.00019340661946042886,,,,,,,,,,,,,,
7,2,0.07104426622390747,0.0032916372585644407,0.07104426622390747,0.0032916372585644407,,,,,,,,,,,,,,
8,2,0.08276588469743729,0.004988121668112819,0.08276588469743729,0.004988121668112819,,,,,,,,,,,,,,
9,2,0.0909871757030487,0.014897499029175925,0.0909871757030487,0.014897499029175925,,,,,,,,,,,,,,
10,2,0.0854073166847229,0.004486057871938922,0.0854073166847229,0.004486057871938922,,,,,,,,,,,,,,
11,2,0.07575491443276405,0.010103121155311623,0.07575491443276405,0.010103121155311623,,,,,,,,,,,,,,
12,2,0.06982642412185669,0.0033324986281957525,0.06982642412185669,0.0033324986281957525,,,,,,,,,,,,,,
13,2,0.07910996675491333,0.016625593575107473,0.07910996675491333,0.016625593575107473,,,,,,,,,,,,,,
14,2,0.06617077998816967,0.006325633466359818,0.06617077998816967,0.006325633466359818,,,,,,,,,,,,,,
15,2,0.07204984873533249,0.005576923678522137,0.07204984873533249,0.005576923678522137,,,,,,,,,,,,,,
16,2,0.07802407443523407,0.0049300854577133185,0.07802407443523407,0.0049300854577133185,,,,,,,,,,,,,,
17,2,0.0690649263560772,0.0041595304314568345,0.0690649263560772,0.0041595304314568345,,,,,,,,,,,,,,
18,2,0.07066274806857109,0.00830431473429092,0.07066274806857109,0.00830431473429092,,,,,,,,,,,,,,
19,2,0.08917267248034477,0.025910960502186473,0.08917267248034477,0.025910960502186473,,,,,,,,,,,,,,
49,2,,,,,0.0,0.0,0.12777820602059364,0.01752509688438304,0.25418415665626526,0.027976319398258263,0.23359593003988266,0.02718194613423706,2.0588232278823853,0.07943787431115094,,,,
99,2,,,,,0.0,0.0,0.11009874939918518,0.004218994366349642,0.21643628925085068,0.006595065097999804,0.15141207724809647,0.008250487940386445,6.502421617507935,0.1655416941827849,,,,
149,2,,,,,0.0,0.0,0.10440438240766525,0.00313260666242071,0.17572245746850967,0.001119515126858495,0.10876648128032684,0.0012263047042729727,6.695597171783447,0.010678325538720113,,,,
199,2,,,,,0.0,0.0,0.11451585963368416,0.01561422199317187,0.19919121265411377,0.02346791315989644,0.130642369389534,0.02455504897038644,6.854884147644043,0.10871324387421198,,,,
249,2,,,,,0.0,0.0,0.10782026872038841,0.004984091375723965,0.16841599345207214,0.0077502364586985156,0.10008340328931808,0.005929028987694273,6.833259344100952,0.18212057851303015,,,,
299,2,,,,,0.0,0.0,0.10866574943065643,0.0030074199856312267,0.1856415718793869,0.007183108465135925,0.1188976839184761,0.008200175139976564,6.67438817024231,0.10170641460297286,,,,
349,2,,,,,0.0,0.0,0.11185820773243904,0.00872374963395921,0.17646777629852295,0.017508264486759,0.10719866678118706,0.019072939895945624,6.926910877227783,0.1564686578101477,,,,
399,2,,,,,0.0,0.0,0.10746905207633972,0.0031182556605027505,0.1493905633687973,0.015788314819302183,0.08279095217585564,0.015844723107677948,6.659961700439453,0.005640259855121883,,,,
449,2,,,,,0.0,0.0,0.1093340776860714,0.0011023350177342419,0.19466941058635712,0.023078918821565143,0.1265747807919979,0.020235655542527785,6.809463262557983,0.2843250002780077,,,,
499,2,,,,,0.0,0.0,0.10795627161860466,0.009232261897955275,0.1569235473871231,0.007195836813386215,0.09192796796560287,0.004517183319564217,6.4995574951171875,0.26786513864795725,,,,
549,2,,,,,0.0,0.0,0.10599694773554802,0.000361193223382298,0.16860881447792053,0.031509321121532465,0.1051054373383522,0.030951159869990568,6.350337028503418,0.05581591441994718,,,,
